path,lines,agi_layer,disposition,cluster,module_summary,phase0_note
app/__init__.py,1,infrastructure/package,KEEP,,,
app/agents/__init__.py,0,infrastructure/package,KEEP,,,
app/agents/coding_agent.py,283,capabilities/code,DEMOTE,,Coding Agent — a specialized multi-step agent for code tasks.,"task loop, thin-agent contract"
app/agents/data_analysis_agent.py,327,capabilities/data,DEMOTE,,"Data Analysis Agent — a thin, read-only analysis loop.","task loop, thin-agent contract"
app/agents/master_agent.py,1104,embodiment/action-execution,DEMOTE,AUTHORITY,,action executor (hands); must not be perceived as a brain
app/agents/multi_agent.py,86,capabilities/agent,DEMOTE,,,collaboration loop; cognition stays in the Mind
app/agents/proactive_coworker_daemon.py,114,mind/motivation,INTEGRATE,,,proactive behavior feed for the motivation system
app/agents/self_evolving_agent.py,360,learning/self-improvement,INTEGRATE,IMPROVEMENT,,"Phase 20 LIVE: the verify-before-install synthesis engine — the one MECHANISM that app/mind/improvement.py calls; the organ decides, this engine executes-and-verifies"
app/api/__init__.py,1,communication/api,KEEP,,API router modules extracted from app.main (composition refactor).,HTTP surface for the mind's state/actions
app/api/mind.py,945,communication/api,KEEP,,Mind API — owner-visible window onto BeanieMind.,Phase 1 LIVE: owner window onto identity/state/entries
app/api/os_browser_automation.py,282,communication/api,KEEP,,"OS grounding, browser/desktop automation, and raw-input API routes.",HTTP surface for the mind's state/actions
app/api/owner_control_autonomy.py,1003,communication/api,KEEP,,"Owner-control autonomy API: goal queue, schedules, run timelines,",HTTP surface for the mind's state/actions
app/api/self_awareness.py,179,models/self,KEEP,SELF,Evidence-linked functional self-awareness API.,API window onto the self model
app/api/vault.py,92,communication/api,KEEP,,Owner-controlled encrypted vault API.,HTTP surface for the mind's state/actions
app/cognition/__init__.py,100,mind/cognition-core,INTEGRATE,,Phase 1 cognitive foundation for Arena.,cognition module; becomes an organ of BeanieMind
app/cognition/action_outcomes.py,242,learning/experience,INTEGRATE,,Learned action→outcome statistics from Arena's verified execution history.,
app/cognition/action_planner.py,338,mind/decision,MERGE,PLANNERS,Cognitive Action Planner & Candidate Branch Evaluator.,
app/cognition/action_proposal.py,397,mind/decision,KEEP,,ActionProposal & Multi-Gate Verification Engine.,multi-gate proposal engine
app/cognition/action_selection.py,363,mind/decision,INTEGRATE,,"Turn information needs into bounded, inspectable tool requests.",
app/cognition/adaptive_autonomy.py,156,owner-authority/autonomy,KEEP,,Outcome-calibrated autonomy thresholds with owner-bounded exploration.,
app/cognition/advanced_cognitive_capabilities.py,1833,mind/cognition-core,INTEGRATE,,Phase 14: Advanced Cognitive Capabilities,Phase-14 monolith — candidate for split when the Mind forms
app/cognition/analogical_memory.py,287,memory/semantic,MERGE,MEMORY,Phase 3B: Analogical Reasoning.,analogical reasoning layer
app/cognition/approval_store.py,208,owner-authority/approvals,KEEP,AUTHORITY,Persistent recommendation/decision ledger for owner-reviewed actions.,"runtime approval-request store; Phase 18's authoritative policy is app/mind/authority.py — five owner-stated lanes, asks opened and obeyed"
app/cognition/associative_memory.py,298,memory/semantic,MERGE,MEMORY,Associative memory: embedding-backed recall layered over the lexical store.,
app/cognition/attention_manager.py,43,mind/attention,INTEGRATE,ATTENTION,Phase D: Executive Attention & Priority Allocation Engine.,"43-line seed, LIVE in the cognitive cycle (runtime.py:159) as the in-cycle focus tracker; Phase 14 built the authoritative perception-stream arbitrator as the mind organ app/mind/attention.py — one cognitive authority"
app/cognition/autonomous_goal_executor.py,999,mind/motivation,INTEGRATE,MOTIVATION,Phase 8: Autonomous Goal Execution,"execution-plan seed under the authority layer; Phase-15 accepted goals execute through the normal door, not around it"
app/cognition/autonomous_goal_generator.py,1161,mind/motivation,INTEGRATE,MOTIVATION,Phase 7: Autonomous Goal Generation,"Phase 7 seed (GoalSource/AutonomousGoal + store), LIVE via the owner-control autonomy API; Phase 15 built the authoritative evidence-first goal organ app/mind/motivation.py — goals from evidence, never random"
app/cognition/autonomous_operator.py,458,mind/motivation,LEGACY,,Phase 6C: Autonomous Operation with Oversight.,owner-deferred prototype (charter §5⑦); test-only
app/cognition/autonomy_allocator.py,32,owner-authority/autonomy,KEEP,,Resource-aware multi-goal allocation with owner priority dominance.,
app/cognition/autonomy_envelope.py,58,owner-authority/autonomy,KEEP,,"Owner-defined, persistent operating envelope for autonomous cycles.",
app/cognition/autonomy_lease.py,27,owner-authority/autonomy,KEEP,,Atomic SQLite lease preventing overlapping autonomous cycles.,
app/cognition/autonomy_preemption.py,63,owner-authority/autonomy,KEEP,,Persistent receipts for owner-directed preemption and safe resume review.,
app/cognition/autonomy_run_ledger.py,89,owner-authority/autonomy,KEEP,,Persistent stage-by-stage audit ledger for autonomous work.,
app/cognition/autonomy_schedule.py,89,owner-authority/autonomy,KEEP,,Atomic timezone-aware owner task calendar.,
app/cognition/belief_engine.py,239,mind/reasoning,MERGE,BELIEF,"Connect evidence, competing hypotheses, and belief revision.",two belief systems exist — consolidate to one
app/cognition/beliefs.py,453,mind/reasoning,MERGE,BELIEF,Phase 3: evidence-backed beliefs and belief revision.,
app/cognition/blackboard.py,79,mind/cognition-core,INTEGRATE,STATE,Ephemeral working memory for the active cognitive loop with clear boundary contracts.,fragment of future BeanieState (ephemeral loop memory)
app/cognition/browser_adapters.py,170,embodiment/browser,KEEP,,"Owner-configured, service-specific browser adapters for receipts and deletes.",
app/cognition/browser_grounding.py,52,models/world,INTEGRATE,WORLD,Persistent browser session/tab grounding without credential assumptions.,
app/cognition/capability_factory.py,70,capabilities/registry,KEEP,,Verified dynamic capability synthesis.,dynamic capability synthesis
app/cognition/capability_resolver.py,333,capabilities/registry,KEEP,,"Capability vocabulary resolver — owner review item 7 (2026-09-01, P0).",
app/cognition/causal_inference.py,828,learning/causal,KEEP,,Phase 12: Causal Inference Engine,
app/cognition/checkpoint.py,293,infrastructure/persistence,KEEP,,"Crash-safe, explicitly versioned cognitive checkpoints.",
app/cognition/cognitive_pipeline.py,140,mind/cognition-core,LEGACY,AUTHORITY,Cognitive Pipeline Enforcer delegating strictly to CognitiveRuntime Composition Root.,delegating enforcer over the runtime; compat surface only
app/cognition/cognitive_router.py,67,mind/cognition-core,LEGACY,,Resource-aware request routing primitives.,owner-deferred prototype (charter §5⑦); test-only
app/cognition/cognitive_state.py,112,mind/cognition-core,INTEGRATE,STATE,"Shared, serializable working state for Arena's cognitive systems.",fragment of future BeanieState (working state)
app/cognition/commitment_ledger.py,279,mind/cognition-core,KEEP,,Restart-safe commitments and deterministic introspection summaries.,
app/cognition/common_sense/__init__.py,16,memory/semantic,KEEP,,Common Sense Knowledge Base for AGI,static common-sense KB
app/cognition/common_sense/causal_knowledge.py,80,memory/semantic,KEEP,,Causal Knowledge,
app/cognition/common_sense/common_sense_knowledge_base.py,333,memory/semantic,KEEP,,Common Sense Knowledge Base for AGI,
app/cognition/common_sense/everyday_knowledge.py,127,memory/semantic,KEEP,,Everyday Life and Practical Knowledge,
app/cognition/common_sense/human_behavior.py,123,memory/semantic,KEEP,,Human Behavior Knowledge,
app/cognition/common_sense/physical_world.py,214,memory/semantic,KEEP,,Physical World Knowledge,
app/cognition/common_sense/spatial_knowledge.py,117,memory/semantic,KEEP,,Spatial Knowledge,
app/cognition/common_sense/technology_knowledge.py,139,memory/semantic,KEEP,,Technology and Computing Knowledge,
app/cognition/common_sense/temporal_knowledge.py,85,memory/semantic,KEEP,,Temporal Knowledge,
