path,category,baseline_lines,current_lines,baseline_sha256,current_sha256,syntax_check,reference_check,review_scope,notes
.github/workflows/tests.yml,documentation_or_configuration,19,19,114ed116510b376ca554789f52e1b7630c944ae130306233a01c63518be50bec,114ed116510b376ca554789f52e1b7630c944ae130306233a01c63518be50bec,YAML syntax parsed (not workflow execution),not a production entry-point claim,static scan; no exhaustive per-line manual semantic review claimed,
.gitignore,source_or_support,32,32,d5c035145946208b31085a9f08f7f02332755f920dd81b6116323b881961410d,d5c035145946208b31085a9f08f7f02332755f920dd81b6116323b881961410d,inventory/text review; not executed,not a production entry-point claim,static scan; no exhaustive per-line manual semantic review claimed,
AGENT_INVARIANTS.md,documentation_or_configuration,246,246,a1e0368b3a714742d97444f3b613cf5ca55ae72857c9358d402cba04d5763f94,a1e0368b3a714742d97444f3b613cf5ca55ae72857c9358d402cba04d5763f94,inventory/text review; not executed,not a production entry-point claim,static scan; no exhaustive per-line manual semantic review claimed,
AGI_MEASURED_STATUS.md,documentation_or_configuration,222,228,c767770d358c863025daeb018db736bf3b190e8a9f9f0a218572c6ba69b378a3,f62fcddc975755cb44dfafe79b28facaeb2c5e9739142ec9ef7d688dba40266f,inventory/text review; not executed,not a production entry-point claim,static scan; no exhaustive per-line manual semantic review claimed,
ANDROID_APP_PLAN.md,documentation_or_configuration,243,243,579a400be2ad8ba5beed62d2804af5a62916413de7a914cd2e21bd2717195015,579a400be2ad8ba5beed62d2804af5a62916413de7a914cd2e21bd2717195015,inventory/text review; not executed,not a production entry-point claim,static scan; no exhaustive per-line manual semantic review claimed,
AUDIT_REPORT.md,documentation_or_configuration,95,101,73aeefe00419d0966fbff82ae66ae0a58d0876b5d8eec24fd2515ed39411e51f,d7db131612b16fb419f51c7dcd68eac9c53f29bb189b39d48f80b7c45a0e49cb,inventory/text review; not executed,not a production entry-point claim,static scan; no exhaustive per-line manual semantic review claimed,
DESKTOP_APP_PLAN.md,documentation_or_configuration,57,57,bdc8aff7f3663dac87c36525e60587f3b078899926f12d35b2f915b1c447816e,bdc8aff7f3663dac87c36525e60587f3b078899926f12d35b2f915b1c447816e,inventory/text review; not executed,not a production entry-point claim,static scan; no exhaustive per-line manual semantic review claimed,
LIVE_VERIFICATION.md,documentation_or_configuration,62,62,7b486863d31c1aebfdeee5e7b2c3722cb089e082437480288559e1064a3c7227,7b486863d31c1aebfdeee5e7b2c3722cb089e082437480288559e1064a3c7227,inventory/text review; not executed,not a production entry-point claim,static scan; no exhaustive per-line manual semantic review claimed,
LOCAL_TEST_RUNBOOK.md,documentation_or_configuration,203,203,638d8dea9ba747522f68bcc24d93dc686042627c7df6fb0a4402aaa6d103f44d,638d8dea9ba747522f68bcc24d93dc686042627c7df6fb0a4402aaa6d103f44d,inventory/text review; not executed,not a production entry-point claim,static scan; no exhaustive per-line manual semantic review claimed,
NAMING_AUDIT.md,documentation_or_configuration,66,66,f817088d32535683e48c3add7ea71a10000c2cfbdfd0e3cb977aec5eb1815d71,f817088d32535683e48c3add7ea71a10000c2cfbdfd0e3cb977aec5eb1815d71,inventory/text review; not executed,not a production entry-point claim,static scan; no exhaustive per-line manual semantic review claimed,
PLAN_TO_AGI.md,documentation_or_configuration,95,95,1aaa5b01b8c8086387fa1dd36bd4243debca85a4eab7ddbfa9f4f913a063d487,1aaa5b01b8c8086387fa1dd36bd4243debca85a4eab7ddbfa9f4f913a063d487,inventory/text review; not executed,not a production entry-point claim,static scan; no exhaustive per-line manual semantic review claimed,
README.md,documentation_or_configuration,346,352,ad57b026cf02051ee6d8483f30598b63c234d35a6e5e2b23f9355deca5b17655,4f0cd5dc4a4fa873f904c1698e96a5659e77424d65746d7cd5f70896672fc20d,inventory/text review; not executed,not a production entry-point claim,static scan; no exhaustive per-line manual semantic review claimed,
TOOLS_GAP_ASSESSMENT.md,documentation_or_configuration,152,157,0384d5997f38792d65e6b9ac111da465f78705cf98e5f6bca3a25cb2bede49fc,ea19cce460defacbaf0c5b16c7e770c0c4959637f29c0f8f163836da03df01c9,inventory/text review; not executed,not a production entry-point claim,static scan; no exhaustive per-line manual semantic review claimed,
TOOL_EXPANSION_PLAN.md,documentation_or_configuration,91,91,8c077fc7350c966d50e891eda59380199acb46afc4801ef22b3f27e685c9e2ea,8c077fc7350c966d50e891eda59380199acb46afc4801ef22b3f27e685c9e2ea,inventory/text review; not executed,not a production entry-point claim,static scan; no exhaustive per-line manual semantic review claimed,
VOICE_PIPELINE.md,documentation_or_configuration,198,198,840daaf20329633a8a1040bbdd1ccab7f4562b0b995ff0adfa517aa8e101c779,840daaf20329633a8a1040bbdd1ccab7f4562b0b995ff0adfa517aa8e101c779,inventory/text review; not executed,not a production entry-point claim,static scan; no exhaustive per-line manual semantic review claimed,
android/.gitignore,source_or_support,24,24,dde9809d54caf3e78071c8824c19df759a227ea5c0d0945341ddf9585e207018,dde9809d54caf3e78071c8824c19df759a227ea5c0d0945341ddf9585e207018,inventory/text review; not executed,not a production entry-point claim,static scan; no exhaustive per-line manual semantic review claimed,
android/app/build.gradle.kts,source_or_support,117,117,ba957943fa5f9fb0b8a84e872ef952efb6c17745e984fbe74bccb2ebfe8b9d6a,ba957943fa5f9fb0b8a84e872ef952efb6c17745e984fbe74bccb2ebfe8b9d6a,Kotlin grammar parsed; Android compile NOT performed,Android/Compose/Hilt source scan; runtime linkage not compiler-verified,static scan; no exhaustive per-line manual semantic review claimed,
android/app/proguard-rules.pro,source_or_support,25,25,77fa75522d256a93ce2ae67d03ce72a4cab8fc54bfa220ea9329b63a8734475a,77fa75522d256a93ce2ae67d03ce72a4cab8fc54bfa220ea9329b63a8734475a,inventory/text review; not executed,not a production entry-point claim,static scan; no exhaustive per-line manual semantic review claimed,
android/app/src/main/AndroidManifest.xml,asset_or_platform_resource,138,138,2471072549c2c6bb5527c659255f50986c87c90d43e2ef6e0e236d8478a73e7a,2471072549c2c6bb5527c659255f50986c87c90d43e2ef6e0e236d8478a73e7a,XML syntax passed,not a production entry-point claim,static scan; no exhaustive per-line manual semantic review claimed,
android/app/src/main/java/com/arena/voice/ArenaVoiceApp.kt,source_or_support,49,49,010314cac5a992b1a3229c166381f483683d3052c814fe2fff7fada1cd637bb2,010314cac5a992b1a3229c166381f483683d3052c814fe2fff7fada1cd637bb2,Kotlin grammar parsed; Android compile NOT performed,Android/Compose/Hilt source scan; runtime linkage not compiler-verified,static scan; no exhaustive per-line manual semantic review claimed,
android/app/src/main/java/com/arena/voice/MainActivity.kt,source_or_support,375,375,73fa699409568f5fd3accf919b1900ce6f60f8d08d0b82e0bce711a5eee24587,73fa699409568f5fd3accf919b1900ce6f60f8d08d0b82e0bce711a5eee24587,Kotlin grammar parsed; Android compile NOT performed,Android/Compose/Hilt source scan; runtime linkage not compiler-verified,static scan; no exhaustive per-line manual semantic review claimed,
android/app/src/main/java/com/arena/voice/api/ApiClient.kt,source_or_support,326,326,f600a746dd956fb56d96f8f4b0e582efb5fd21097121ffe160775231955492b1,f600a746dd956fb56d96f8f4b0e582efb5fd21097121ffe160775231955492b1,Kotlin grammar parsed; Android compile NOT performed,Android/Compose/Hilt source scan; runtime linkage not compiler-verified,static scan; no exhaustive per-line manual semantic review claimed,
android/app/src/main/java/com/arena/voice/api/UploadClient.kt,source_or_support,98,98,cb429a09b5cbb6366550c3e3c3c9b896e592956ac90602fae75b2358d899f0a0,cb429a09b5cbb6366550c3e3c3c9b896e592956ac90602fae75b2358d899f0a0,Kotlin grammar parsed; Android compile NOT performed,Android/Compose/Hilt source scan; runtime linkage not compiler-verified,static scan; no exhaustive per-line manual semantic review claimed,
android/app/src/main/java/com/arena/voice/audio/AudioPlaybackManager.kt,source_or_support,121,121,00538967a50e35a4861514fa61fe1005561d97984ebce0a87f4afb0f6ef65ba9,00538967a50e35a4861514fa61fe1005561d97984ebce0a87f4afb0f6ef65ba9,Kotlin grammar parsed; Android compile NOT performed,Android/Compose/Hilt source scan; runtime linkage not compiler-verified,static scan; no exhaustive per-line manual semantic review claimed,
android/app/src/main/java/com/arena/voice/service/VoiceRecordingService.kt,source_or_support,225,225,763164bb4f702b87963d5a3ac42fcdb77fad8105c395a0fa1e501daf23cafb66,763164bb4f702b87963d5a3ac42fcdb77fad8105c395a0fa1e501daf23cafb66,Kotlin grammar parsed; Android compile NOT performed,Android/Compose/Hilt source scan; runtime linkage not compiler-verified,static scan; no exhaustive per-line manual semantic review claimed,
android/app/src/main/java/com/arena/voice/service/WakeWordService.kt,source_or_support,428,428,a65284012724b2f8ada268beff284b29d9543ed0e2b9752eae80fb26c1e8e627,a65284012724b2f8ada268beff284b29d9543ed0e2b9752eae80fb26c1e8e627,Kotlin grammar parsed; Android compile NOT performed,Android/Compose/Hilt source scan; runtime linkage not compiler-verified,static scan; no exhaustive per-line manual semantic review claimed,
android/app/src/main/java/com/arena/voice/ui/AppScaffold.kt,source_or_support,168,168,c564d17d7d429812ac60711f5a0a68b6bc85b8f064af6b0c81f472e1e22f6f88,c564d17d7d429812ac60711f5a0a68b6bc85b8f064af6b0c81f472e1e22f6f88,Kotlin grammar parsed; Android compile NOT performed,Android/Compose/Hilt source scan; runtime linkage not compiler-verified,static scan; no exhaustive per-line manual semantic review claimed,
android/app/src/main/java/com/arena/voice/ui/chat/ChatViewModel.kt,source_or_support,336,336,1e7c8027510d565680a85f8c20529406cfc196ae814ad5953fb35c8489619036,1e7c8027510d565680a85f8c20529406cfc196ae814ad5953fb35c8489619036,Kotlin grammar parsed; Android compile NOT performed,Android/Compose/Hilt source scan; runtime linkage not compiler-verified,static scan; no exhaustive per-line manual semantic review claimed,
android/app/src/main/java/com/arena/voice/ui/components/BeanieComposer.kt,source_or_support,147,147,df21a16aad3acbcf1b9fcb3f479b7b7bc22efd2ca33bea45404b6b6df815ffa2,df21a16aad3acbcf1b9fcb3f479b7b7bc22efd2ca33bea45404b6b6df815ffa2,Kotlin grammar parsed; Android compile NOT performed,Android/Compose/Hilt source scan; runtime linkage not compiler-verified,static scan; no exhaustive per-line manual semantic review claimed,
android/app/src/main/java/com/arena/voice/ui/components/BeanieEmptyState.kt,source_or_support,34,34,509c689fe1f9796e76b98cc8523bbf98dee032d7d4fc9898813f6f10d4067d1a,509c689fe1f9796e76b98cc8523bbf98dee032d7d4fc9898813f6f10d4067d1a,Kotlin grammar parsed; Android compile NOT performed,Android/Compose/Hilt source scan; runtime linkage not compiler-verified,static scan; no exhaustive per-line manual semantic review claimed,
android/app/src/main/java/com/arena/voice/ui/components/BeanieMessage.kt,source_or_support,82,82,c092b5ef1b9a93d1218ca9c916bf1cc546c2cfd752683cae5fcbad4bf77adad7,c092b5ef1b9a93d1218ca9c916bf1cc546c2cfd752683cae5fcbad4bf77adad7,Kotlin grammar parsed; Android compile NOT performed,Android/Compose/Hilt source scan; runtime linkage not compiler-verified,static scan; no exhaustive per-line manual semantic review claimed,
android/app/src/main/java/com/arena/voice/ui/components/BeaniePresence.kt,source_or_support,249,249,e61ef4cbbe5a6189d1947dc583d94c59ea43da71ba40fa95f11933818ae92ff6,e61ef4cbbe5a6189d1947dc583d94c59ea43da71ba40fa95f11933818ae92ff6,Kotlin grammar parsed; Android compile NOT performed,Android/Compose/Hilt source scan; runtime linkage not compiler-verified,static scan; no exhaustive per-line manual semantic review claimed,
android/app/src/main/java/com/arena/voice/ui/components/BeanieTopBar.kt,source_or_support,103,103,f96aee1b1f8121678ad6a5a328d94b5f207be5070e4fa4c9d3714daa57018ac4,f96aee1b1f8121678ad6a5a328d94b5f207be5070e4fa4c9d3714daa57018ac4,Kotlin grammar parsed; Android compile NOT performed,Android/Compose/Hilt source scan; runtime linkage not compiler-verified,static scan; no exhaustive per-line manual semantic review claimed,
android/app/src/main/java/com/arena/voice/ui/components/ConversationDrawer.kt,source_or_support,108,108,7c1e91081968b177e2de025ad194b7e6683cd6f2717a331457fe6fb10e0c76f6,7c1e91081968b177e2de025ad194b7e6683cd6f2717a331457fe6fb10e0c76f6,Kotlin grammar parsed; Android compile NOT performed,Android/Compose/Hilt source scan; runtime linkage not compiler-verified,static scan; no exhaustive per-line manual semantic review claimed,
android/app/src/main/java/com/arena/voice/ui/components/SharedPresenceTokens.kt,source_or_support,63,63,fd1aea4bc623f0827bb246a84b0fdb1d832e07b9c3ad9e4c03d74ea79266e74e,fd1aea4bc623f0827bb246a84b0fdb1d832e07b9c3ad9e4c03d74ea79266e74e,Kotlin grammar parsed; Android compile NOT performed,Android/Compose/Hilt source scan; runtime linkage not compiler-verified,static scan; no exhaustive per-line manual semantic review claimed,
android/app/src/main/java/com/arena/voice/ui/components/ToolActivity.kt,source_or_support,106,106,a88c39313626baefe32826e5489437b14193ab1307380cf05442bd4e7c4f1c6c,a88c39313626baefe32826e5489437b14193ab1307380cf05442bd4e7c4f1c6c,Kotlin grammar parsed; Android compile NOT performed,Android/Compose/Hilt source scan; runtime linkage not compiler-verified,static scan; no exhaustive per-line manual semantic review claimed,
android/app/src/main/java/com/arena/voice/ui/components/VoiceStatusIndicator.kt,source_or_support,49,49,abc9149a6375a17259f57908c194edcfb6b9d0bf407b3b8a25af34d938dbb0f8,abc9149a6375a17259f57908c194edcfb6b9d0bf407b3b8a25af34d938dbb0f8,Kotlin grammar parsed; Android compile NOT performed,Android/Compose/Hilt source scan; runtime linkage not compiler-verified,static scan; no exhaustive per-line manual semantic review claimed,
android/app/src/main/java/com/arena/voice/ui/components/WorkingContext.kt,source_or_support,107,107,023568bb6f2900f664903768b13320d3114d4200c5f152638ed7c39f13f36445,023568bb6f2900f664903768b13320d3114d4200c5f152638ed7c39f13f36445,Kotlin grammar parsed; Android compile NOT performed,Android/Compose/Hilt source scan; runtime linkage not compiler-verified,static scan; no exhaustive per-line manual semantic review claimed,
android/app/src/main/java/com/arena/voice/ui/screens/BeanieScreen.kt,source_or_support,139,139,2b5dcaa0cf07f3b6212f948515667947741991f2c5c596d759be07b9b95354ab,2b5dcaa0cf07f3b6212f948515667947741991f2c5c596d759be07b9b95354ab,Kotlin grammar parsed; Android compile NOT performed,Android/Compose/Hilt source scan; runtime linkage not compiler-verified,static scan; no exhaustive per-line manual semantic review claimed,
android/app/src/main/java/com/arena/voice/ui/screens/ChatScreen.kt,source_or_support,154,154,b90e0781ee4750d7fedaba10ff8003017154cca7d0bc8f8af78ce0340595f11e,b90e0781ee4750d7fedaba10ff8003017154cca7d0bc8f8af78ce0340595f11e,Kotlin grammar parsed; Android compile NOT performed,Android/Compose/Hilt source scan; runtime linkage not compiler-verified,static scan; no exhaustive per-line manual semantic review claimed,
android/app/src/main/java/com/arena/voice/ui/screens/FilesScreen.kt,source_or_support,96,96,c9c1368dcdb8bbab0ee52631bd1b5040cbf799649f629b3010215eda99e7f78a,c9c1368dcdb8bbab0ee52631bd1b5040cbf799649f629b3010215eda99e7f78a,Kotlin grammar parsed; Android compile NOT performed,Android/Compose/Hilt source scan; runtime linkage not compiler-verified,static scan; no exhaustive per-line manual semantic review claimed,
android/app/src/main/java/com/arena/voice/ui/screens/PansophyScreen.kt,source_or_support,113,113,9968ab1481d61542c1b961d0f36ab85c730625616d63969b69f06cf672d1a94a,9968ab1481d61542c1b961d0f36ab85c730625616d63969b69f06cf672d1a94a,Kotlin grammar parsed; Android compile NOT performed,Android/Compose/Hilt source scan; runtime linkage not compiler-verified,static scan; no exhaustive per-line manual semantic review claimed,
android/app/src/main/java/com/arena/voice/ui/screens/ProjectsScreen.kt,source_or_support,177,177,16d9af030174a30bbe54a889a9b304ffa164bf4558b3016eb4bd17539e32b650,16d9af030174a30bbe54a889a9b304ffa164bf4558b3016eb4bd17539e32b650,Kotlin grammar parsed; Android compile NOT performed,Android/Compose/Hilt source scan; runtime linkage not compiler-verified,static scan; no exhaustive per-line manual semantic review claimed,
android/app/src/main/java/com/arena/voice/ui/screens/SettingsScreen.kt,source_or_support,1254,1254,93791f60f6527f420c1307b9266a2b4bfd4249f1d2db147d090d089bcf2671ea,93791f60f6527f420c1307b9266a2b4bfd4249f1d2db147d090d089bcf2671ea,Kotlin grammar parsed; Android compile NOT performed,Android/Compose/Hilt source scan; runtime linkage not compiler-verified,static scan; no exhaustive per-line manual semantic review claimed,
android/app/src/main/java/com/arena/voice/ui/screens/VisionScreen.kt,source_or_support,209,209,ed3616ea2a417216db09a7544784da308d8ec6fd17836cd85e686911fcf7de6e,ed3616ea2a417216db09a7544784da308d8ec6fd17836cd85e686911fcf7de6e,Kotlin grammar parsed; Android compile NOT performed,Android/Compose/Hilt source scan; runtime linkage not compiler-verified,static scan; no exhaustive per-line manual semantic review claimed,
android/app/src/main/java/com/arena/voice/ui/theme/Colors.kt,source_or_support,51,51,5ecbc4fc6d2a203f25d79bba50630afb08adc96b5ac1b20fc2635c18ec6640da,5ecbc4fc6d2a203f25d79bba50630afb08adc96b5ac1b20fc2635c18ec6640da,Kotlin grammar parsed; Android compile NOT performed,Android/Compose/Hilt source scan; runtime linkage not compiler-verified,static scan; no exhaustive per-line manual semantic review claimed,
android/app/src/main/java/com/arena/voice/ui/theme/Elevation.kt,source_or_support,16,16,febbf0a544b5c3d9af1d3a0c59c7bd999b54a234791b705402370203aa72e5c5,febbf0a544b5c3d9af1d3a0c59c7bd999b54a234791b705402370203aa72e5c5,Kotlin grammar parsed; Android compile NOT performed,Android/Compose/Hilt source scan; runtime linkage not compiler-verified,static scan; no exhaustive per-line manual semantic review claimed,
android/app/src/main/java/com/arena/voice/ui/theme/Motion.kt,source_or_support,10,10,6ff3c5f64e241e93a34a3ebbb5f1a74857fc1961f2041ea213ff4f3fe8bcf3e8,6ff3c5f64e241e93a34a3ebbb5f1a74857fc1961f2041ea213ff4f3fe8bcf3e8,Kotlin grammar parsed; Android compile NOT performed,Android/Compose/Hilt source scan; runtime linkage not compiler-verified,static scan; no exhaustive per-line manual semantic review claimed,
android/app/src/main/java/com/arena/voice/ui/theme/Shapes.kt,source_or_support,16,16,5c9595b969e344cda851bc9eecf4771b43e4f05df09af718a4dc594eea2adc90,5c9595b969e344cda851bc9eecf4771b43e4f05df09af718a4dc594eea2adc90,Kotlin grammar parsed; Android compile NOT performed,Android/Compose/Hilt source scan; runtime linkage not compiler-verified,static scan; no exhaustive per-line manual semantic review claimed,
android/app/src/main/java/com/arena/voice/ui/theme/Spacing.kt,source_or_support,24,24,21da0aeb81df3a3b0a282f60ad130950f676061c996af1fa158f051b51e170bd,21da0aeb81df3a3b0a282f60ad130950f676061c996af1fa158f051b51e170bd,Kotlin grammar parsed; Android compile NOT performed,Android/Compose/Hilt source scan; runtime linkage not compiler-verified,static scan; no exhaustive per-line manual semantic review claimed,
android/app/src/main/java/com/arena/voice/ui/theme/Theme.kt,source_or_support,52,52,bb16f51566d02431c10400fda8f2ff2909dd937946dd4b37ffaa64db72c9836c,bb16f51566d02431c10400fda8f2ff2909dd937946dd4b37ffaa64db72c9836c,Kotlin grammar parsed; Android compile NOT performed,Android/Compose/Hilt source scan; runtime linkage not compiler-verified,static scan; no exhaustive per-line manual semantic review claimed,
android/app/src/main/java/com/arena/voice/ui/theme/Typography.kt,source_or_support,38,38,e4cb0451f28da5492097a8af8053f096f00234dd033799013ef9f61a0654188f,e4cb0451f28da5492097a8af8053f096f00234dd033799013ef9f61a0654188f,Kotlin grammar parsed; Android compile NOT performed,Android/Compose/Hilt source scan; runtime linkage not compiler-verified,static scan; no exhaustive per-line manual semantic review claimed,
android/app/src/main/java/com/arena/voice/util/AudioConfig.kt,source_or_support,29,29,f8803837800a6709e6d727d8c1c0ee49676993bc2b31cb7c5dddbfd5816aa474,f8803837800a6709e6d727d8c1c0ee49676993bc2b31cb7c5dddbfd5816aa474,Kotlin grammar parsed; Android compile NOT performed,Android/Compose/Hilt source scan; runtime linkage not compiler-verified,static scan; no exhaustive per-line manual semantic review claimed,
android/app/src/main/java/com/arena/voice/util/SettingsRepository.kt,source_or_support,97,97,b3c84b574af14218628216c49d31d086d0b260f3ef61977dd3ffd314efc60d61,b3c84b574af14218628216c49d31d086d0b260f3ef61977dd3ffd314efc60d61,Kotlin grammar parsed; Android compile NOT performed,Android/Compose/Hilt source scan; runtime linkage not compiler-verified,static scan; no exhaustive per-line manual semantic review claimed,
android/app/src/main/java/com/arena/voice/websocket/VoiceWebSocketClient.kt,source_or_support,390,390,2230be76a4553e1f3aaa82339aca66e613035a9f49092bbeb875f25b7fbbb40e,2230be76a4553e1f3aaa82339aca66e613035a9f49092bbeb875f25b7fbbb40e,Kotlin grammar parsed; Android compile NOT performed,Android/Compose/Hilt source scan; runtime linkage not compiler-verified,static scan; no exhaustive per-line manual semantic review claimed,
android/app/src/main/res/drawable/ic_launcher_foreground.xml,asset_or_platform_resource,16,16,a410d7b69afaef77f5e85952e29c2407ba86a4d23d2e45a3305e2e11867c7f44,a410d7b69afaef77f5e85952e29c2407ba86a4d23d2e45a3305e2e11867c7f44,XML syntax passed,not a production entry-point claim,static scan; no exhaustive per-line manual semantic review claimed,
